November 1946,Koningin Wilhelmina (1927),Dordrecht (1933),Prins Willem I (1933),Oosterschelde (1933),Koningsplaat,Lekstroom,Zandkreek (1926),Prinses Irene,Koningin Emma (1933),Zuidvliet (1914),Zeemeeuw
21-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
22-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
23-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
24-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
25-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
26-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
27-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
28-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
29-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
30-11-1946,Kruiningen-Perkpolder,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,,Kortgene-Wolphaartsdijk,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats
