December 1950,Koningin Wilhelmina (1927),Prins Hendrik (1932),Koningin Emma (1933),Dordrecht (1933),Willemsdorp (1930),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prinses Irene,Koningin Juliana (1949),Prins Bernhard (1950),Zeemeeuw,Prins Willem I (1933)
22-12-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Binnen
23-12-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Binnen
24-12-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Binnen
25-12-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Binnen
26-12-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Binnen
27-12-1950,Vlissingen-Breskens,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Binnen
28-12-1950,Werkplaats,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Binnen
29-12-1950,Werkplaats,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Binnen
30-12-1950,Werkplaats,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Binnen
31-12-1950,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Binnen,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Vlissingen-Breskens,Werkplaats,Werkplaats,Binnen,Binnen
