Maart 1948,Prins Willem I (1933),Oosterschelde (1933),Koningin Wilhelmina (1927),Dordrecht (1933),Koningin Emma (1933),Koningsplaat,Prinses Irene,Zandkreek (1926),Gorinchem,Zuidvliet (1914),Willemsdorp (1930),Zeemeeuw
11-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
12-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
13-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
14-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
15-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
16-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
17-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
18-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
19-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
20-03-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
