Juli 1948,Prins Willem I (1933),Oosterschelde (1933),Dordrecht (1933),Westkapelle,Prinses Irene,Koningin Wilhelmina (1927),Willemsdorp (1930),Zeemeeuw,Koningin Emma (1933),Zandkreek (1926),Zuidvliet (1914),Prins Hendrik (1932)
01-07-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
02-07-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
03-07-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
04-07-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
05-07-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
06-07-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
07-07-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
08-07-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
09-07-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
10-07-1948,Werkplaats,Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats
