November 1948,Oosterschelde (1933),Dordrecht (1933),Koningin Emma (1933),Prins Hendrik (1932),Koningin Wilhelmina (1927),Willemsdorp (1930),Prins Willem I (1933),Zandkreek (1926),Zuidvliet (1914),Juliana,Prinses Irene,Zeemeeuw,Moerdijk (1928)
01-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
02-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
03-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
04-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
05-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Kruiningen-Perkpolder,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
06-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
07-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
08-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
09-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
10-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
11-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,
12-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Overbrenging
13-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werkplaats
14-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
15-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
16-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
17-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
18-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
19-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
20-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
21-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
22-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
23-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
24-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
25-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
26-11-1948,Vlissingen-Breskens,Vlissingen-Breskens,Terneuzen-Hoedekenskerke,Werkplaats,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Binnen,Binnen,Werf
