Januari 1948,Prins Willem I (1933),Oosterschelde (1933),Dordrecht (1933),Koningin Wilhelmina (1927),Koningin Emma (1933),Koningsplaat,Zandkreek (1926),Gorinchem,Zuidvliet (1914),Prinses Irene,Zeemeeuw
13-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
14-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
15-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
16-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
17-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
18-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
19-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
20-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
21-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
22-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
23-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
24-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
25-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
26-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
27-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
28-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
29-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
30-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
31-01-1948,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Kortgene-Wolphaartsdijk,Veere-Kamperland,Werkplaats,Werkplaats
