Oktober 1954,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Prins Willem I (1933),Oosterschelde (1933),Koningin Emma (1933),Noord-Beveland (1952),Zandkreek (1926),Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930)
21-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
22-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Speciale vaart,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
23-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
24-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
25-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
26-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
27-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
28-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Zijpe-Anna Jacobapolder
29-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
30-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
31-10-1954,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Zierikzee-Katseveer,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Kruiningen-Perkpolder,Werf
