Juni 1954,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Prins Willem I (1933),Oosterschelde (1933),Koningin Emma (1933),Zandkreek (1926),Zuidvliet (1914),Noord-Beveland (1952),Gorinchem,Dordrecht (1933),Willemsdorp (1930),Zeemeeuw
20-06-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,,Kruiningen-Perkpolder,Werkplaats,Binnen
21-06-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,,Kruiningen-Perkpolder,Werkplaats,Binnen
22-06-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,,Kruiningen-Perkpolder,Werkplaats,Binnen
23-06-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,,Kruiningen-Perkpolder,Werkplaats,Binnen
24-06-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Ligplaats Vlissingen,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,,Kruiningen-Perkpolder,Werkplaats,Binnen
25-06-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Speciale vaart,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,,Kruiningen-Perkpolder,Werkplaats,Binnen
26-06-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,,Kruiningen-Perkpolder,Werkplaats,Binnen
27-06-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,,Kruiningen-Perkpolder,Werkplaats,Binnen
28-06-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,,Kruiningen-Perkpolder,Werkplaats,Binnen
29-06-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,,Kruiningen-Perkpolder,Werkplaats,Binnen
30-06-1954,Werf,Vlissingen-Breskens,Kruiningen-Perkpolder,Vlissingen-Breskens,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Zierikzee-Katseveer,Veere-Kamperland,Kortgene-Wolphaartsdijk,,Kruiningen-Perkpolder,Werkplaats,Binnen
