September 1953,Prins Bernhard (1950),Koningin Juliana (1949),Prins Hendrik (1932),Koningin Wilhelmina (1927),Koningin Emma (1933),Prins Willem I (1933),Oosterschelde (1933),Oranje,Noord-Beveland (1952),Zandkreek (1926),Zuidvliet (1914),Dordrecht (1933),Willemsdorp (1930),Zeemeeuw
20-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Terneuzen-Hoedekenskerke,,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
21-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
22-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
23-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
24-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werf,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
25-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
26-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
27-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werkplaats,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
28-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Werkplaats,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
29-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Speciale vaart,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
30-09-1953,Vlissingen-Breskens,Vlissingen-Breskens,Werf,Werf,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Terneuzen-Hoedekenskerke,Kortgene-Wolphaartsdijk,Zierikzee-Katseveer,Veere-Kamperland,Werkplaats,Werkplaats,Werf
09/31/1953,,,,,,,,,,,,,,
