Maart 1949,Dordrecht (1933),Koningsplaat,Prins Willem I (1933),Koningin Wilhelmina (1927),Willemsdorp (1930),Moerdijk (1928),Koningin Emma (1933),Oosterschelde (1933),Zandkreek (1926),Zuidvliet (1914),Prins Hendrik (1932),Prinses Irene,Zeemeeuw
11-03-1949,Vlissingen-Breskens,Vlissingen-Breskens,Reserve Vlissingen-Breskens,Kruiningen-Perkpolder,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
12-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Kruiningen-Perkpolder,Werkplaats,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
13-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
14-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
15-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
16-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
17-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
18-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
19-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
20-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
21-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
22-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
23-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
24-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
25-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
26-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
27-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
28-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
29-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
30-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
31-03-1949,Kruiningen-Perkpolder,Reserve Vlissingen-Breskens,Vlissingen-Breskens,Vlissingen-Breskens,Werkplaats,Kruiningen-Perkpolder,Terneuzen-Hoedekenskerke,Zierikzee-Katseveer,Kortgene-Wolphaartsdijk,Veere-Kamperland,Binnen,Binnen,Binnen
